role,normalized_role
tesi diretta da/thése dirigée par supervisors,supervisor
tesi dottorale,thesis info
tesi per il conseguimento del titolo di dottore della ricerca della dott.ssa,thesis info
tesi presentata da,thesis info
tesi sperimentale di dottorato,thesis info
tesi svolta presso,contributor
tesista,thesis student
the candidate,candidate
the chair of doctoral program,program director
the chair of the doctoral program,program director
the coordinator,coordinator
the director of the school,program director
the research doctorate co-ordinator,coordinator
the research doctorate supervisor,supervisor
the research has been carried out in collaboration with,contributor
these dirigee par,supervisor
thesis advisor,advisor
thesis advisor and tutor,tutor
thesis advisors,advisor
thesis co-advisor,co-advisor
thesis co-supervisors,supervisor
thesis codirector,co-director
thesis commitee,contributor
thesis commitee president,president
thesis committee,committee member
thesis coordinator,coordinator
thesis cosupervisor,co-supervisor
thesis director,program director
thesis directors,program director
thesis jury,jury
thesis main supervisor,supervisor
thesis of,thesis info
thesis reader,referee
thesis referee,referee
thesis research advisors,advisor
thesis reviewer,referee
thesis reviewer senior researcher,referee
thesis reviewers,referee
thesis supervisor,supervisor
thesis supervisors,supervisor
thesis tutor,tutor
third supervisor,supervisor
thèse codirigée par,contributor
thèse dirigée en cotutelle par mm = tesi di dottorato in cotutela diretta dai proff.,professor
thèse dirigée par,contributor
thèse dirigée par = relatori di dottorato = advisors,supervisor
titolare del progetto,contributor
to-tutors,tutor
tudor[!,contributor
tunisian tutor,tutor
tuore,contributor
turor,tutor
turor del percorso formativo,contributor
turore,tutor
turtor,tutor
tuteur,tutor
tutire,contributor
tuto,contributor
tutor,tutor
tutor & supervisor,tutor
tutor (milan),tutor
tutor (münchen),tutor
tutor [del secondo elaborato,tutor
tutor [del secondo elaborato],tutor
tutor [dell'università degli studi] di messina,tutor
tutor [dell'école des hautes études en sciences sociales di] parigi,tutor
tutor [esterno,tutor
tutor [esterno],external tutor
tutor accademico,tutor
tutor afferente all'ateneo,tutor affiliated with the university
tutor afferente all'università paris 1 panthèon-sorbonne (in co-tutela),tutor
tutor afferente alla ludwig-maximilians-universität münchen (cotutela di tesi),tutor
tutor aggiunti,adjunct tutor
tutor all'estero,tutor
tutor and chief of phd course,tutor
tutor and co-ordinator,coordinator
tutor and coordinator,coordinator
tutor and relatore,tutor
tutor and supervisor,tutor
tutor aziendale,tutor
tutor aziendale comau,company tutor
tutor aziendali,tutor
tutor bergische universita̎t wuppertal,tutor
tutor co-tutela,tutor
tutor coordinatore,coordinator
tutor cotutela,tutor
tutor del candidato,tutor
tutor del collegio,tutor
tutor del corso,tutor
tutor del corso di dottorato,tutor
tutor del dottorando,tutor
tutor del dottorato,tutor
tutor del dottorato di ricerca,tutor
tutor del percorso di ricerca,tutor
tutor del programma di ricerca,tutor
tutor dell'attività di ricerca,tutor
tutor della dissertazione,tutor
tutor della dottoranda,tutor
tutor della ricerca,tutor
tutor della ricerca e coordinatore del dottorato,coordinator
tutor della tesi,tutor
tutor della tesi di dottorato,tutor
tutor di altro ateneo,tutor
tutor di dottorato,tutor
tutor di percorso,tutor
tutor di percorso formativo,tutor
tutor di ricerca,tutor
tutor di tesi,tutor
tutor di tesi in cotutela,tutor
tutor didattico,tutor
tutor dottorando,tutor
tutor dottorato,tutor
tutor e coordinatore,coordinator
tutor e coordinatore del ciclo,coordinator
tutor e coordinatore del ciclo di dottorato,coordinator
tutor e coordinatore del collegio dei docenti,coordinator
tutor e coordinatore del corso,coordinator
tutor e coordinatore del dottorato,coordinator
tutor e coorinatore,tutor and coordinator
tutor e referente,tutor
tutor e relatore,tutor
tutor e supervisore,tutor
tutor e supervisori,tutor
tutor embl,tutor
tutor enea,tutor
tutor esterna,external tutor
tutor esterni,tutor
tutor esterni al dottorato,external tutor
tutor esterno,tutor
tutor esterno (co-advisor),external tutor/co-advisoy
tutor esterno (cotutela),external tutor
tutor esterno (gsk),external tutor
tutor estero,tutor
tutor for biological aspects,tutor
tutor foreign partner,external tutor
tutor francese,tutor
tutor fuori sede,tutor
tutor in cotutela,tutor
tutor industriale,company tutor
tutor industriali,company tutor
tutor interno,tutor
tutor itae,tutor
tutor italiano,tutor
tutor non afferente,tutor
tutor non afferente all'ateneo,tutor not affiliated with the university
tutor non afferenti all'ateneo,tutor not affiliated with the university
tutor of ph. d. student,tutor
tutor per la francia,tutor
tutor per la tesi di dottorato,tutor
tutor primo anno,tutor
tutor principale,tutor
tutor prof. arch.,tutor
tutor professor,tutor
tutor reina rocco (unicz - rreina@unicz.it) coordinatore,coordinator
tutor relatore,tutor
tutor scientifco,tutor
tutor scientifici,tutor
tutor scientifico,tutor
tutor scientifico e relatore,tutor
tutor spagnolo,tutor
tutor straniero,tutor
tutor sun,tutor
tutor teorico,tutor
tutor unical,tutor
tutor unimi,tutor
tutor universitario,tutor
tutor università,tutor
tutor università degli studi di milano,tutor
tutor universität bern,tutor
tutor université de paris 8.,tutor
tutor université paris8,tutor
tutor uvsqy,tutor
"tutor, thesis supervisor",tutor
tutor-relatore,tutor
tutor. massimo de santo coordinatore,coordinator
tutor/advisor,tutor
tutor/coordinatore,coordinator
tutor/directeur de thèse,tutor
tutor/relator,tutor
tutor/relatore,tutor
tutor/relatore interno,tutor
tutor/supervisor,tutor
tutor/tutore,tutor
tutor[s,tutor
tutor[s],tutor
tutoraggio,tutor
tutordi percorso formativo,tutor
tutore,tutor
tutore & coordinatore,coordinator
tutore = european ph.d. supervisor,tutor
tutore = supervisor,tutor
tutore a.m.a.,tutor
tutore accademico,tutor
tutore aggiunto,tutor
tutore aziendale,company tutor
tutore aziendale thales alenia space,company tutor
tutore coordinatore,coordinator
tutore del candidato,tutor
tutore del corso di dottorato,tutor
tutore del dotorando,tutor
tutore del dottorando,tutor
tutore del dottorato,tutor
tutore del dottorato di ricerca,tutor
tutore dell'allievo,tutor
tutore della dottoranda,tutor
tutore della ricerca,tutor
tutore della tesi,tutor
tutore di dottorato,tutor
tutore e co-relatore,tutor
tutore e coordinatore,coordinator
tutore e coordinatore del dottorato,coordinator
tutore e coorinatore,tutor
tutore e correlatore,co-supervisor
tutore e referente,tutor
tutore e relatore,tutor
tutore e relatore interno,tutor
tutore e responsabile scientifico,tutor
tutore esterno,external tutor
tutore interno,tutor
tutore membro del collegio docenti,tutor
tutore nelle attività di ricerca,tutor
tutore relatore,tutor
tutore scientifico,tutor
tutore scientifico/research tutor in charge,tutor
tutore teorico,tutor
tutore-coordinatore,coordinator
tutore-relatore,tutor
tutore-supervisore,tutor
tutore/relatore,tutor
tutore/supervisor,tutor
tutoree coordinatore,tutor/coordinator
tutores,tutor
tutori,tutor
tutori = tuteurs,tutor
tutori accademici,tutor
tutori aggiunti,tutor
tutori aziendali,company tutor
tutori aziendali gmpt-e,company tutor
tutori del candidato,tutor
tutori del dottorando,tutor
tutori del dottorato,tutor
tutori della dottoranda,tutor
tutori della ricerca,tutor
tutori esterni,external tutor
tutori scientifici,tutor
tutori sogin,tutor
tutori università,tutor
tutori/directeurs de thèse,tutor
tutori/research supervisors,tutor
tutors,tutor
tutors del dottorato,tutor
tutors esterni,external tutor
tutors italiani,tutor
tutors ue doctor europaeus,tutor
tutors/directeurs,tutor
tutors/directeurs de thèse,tutor
tutors/directeurs des recherches,tutor
tutote,tutor
tutrice,tutor
tutrice della tesi,tutor
tutur,coordinator
uk advisor,advisor
uk supervisor,supervisor
under the supervision of,supervisor
universitat politècnica de valència tutor,tutor
university supervisor,supervisor
university tutor,tutor
università cattolica s. cuore istituto di ginecologia ed ostetricia direttore,program director
università consorziata,institution
università consorziate,institution
università convenzionate,institution
università d'accoglienza,institution
università degli studi consorziate,institution
università degli studi de l'aquila,institution
università degli studi di ancona,institution
università degli studi di bologna firenze e perugia,institution
università degli studi di cagliari,institution
università degli studi di firenze,institution
università degli studi di l'aquila dipartimento di medicina sperimentale,institution
università degli studi di milano-bicocca dipartimento di psicologia,institution
università degli studi di napoli,institution
università degli studi di palermo,institution
università degli studi di parma,institution
università degli studi di pavia,institution
università degli studi di roma la sapienza clinica ostetrica e ginecologica iii (direttore,program director
università degli studi di roma la sapienza dipartimento di medicina sperimentale e patologia direttore,program director
"università degli studi di roma la sapienza, dipartimento di scienze chirurgiche e tecnologie mediche applicate, direttore",program director
università degli studi di siena,institution
università degli studi di siena (sede arezzo) dipartimento [i. e. dottorato di ricerca in] letteratura e comunicazione,institution
università degli studi di siena istituto di scienze dermatologiche direttore,program director
università degli studi di torino,institution
università degli studi di trieste,institution
"università degli studi di trieste, dip.to scienze cliniche morfologiche e tecnologiche, u. c. o. clinica medica generale, direttore",program director
università degli studi di udine,institution
università degli studi di verona,institution
"università degli studi di verona, sedi consorziate",consortium institution
università degli studi g,institution
"università degli studi g. d'annunzio, chieti, dipartimento di scienze storia dell'architettura e restauro",institution
università del sacro cuore di milano (sede amministrativa,institution
"università di pavia, facoltà di scienze matematiche, fisiche e naturali, dipartimento di chimica organica direttore",program director
"università di pisa, facoltà di medicina e chirurgia, scuola di dottorato in scienze chirurgiche, anestesiologiche e dell'emergenza",institution
"université aix-marseille, campus scientifique de saint jérôme, umr 7371 ism2, école doctorale chimie molèculaire",institution
validatori,validator
validatori esterni,contributor
valitatori,evaluator
valitatori esterni,contributor
valotatori,evaluator
valotatori esterni,contributor
valuatori,evaluator
valuatori esterni,contributor
valutatatori,evaluator
valutatatori esterni,contributor
valutatore,evaluator
valutatore estereno,external evaluator
valutatore esterno,external evaluator
valutatore interno,contributor
valutatori,evaluator
valutatori esame finale,contributor
valutatori esteni,external evaluator
valutatori estereni,external evaluator
valutatori esteri,contributor
valutatori esterni,external evaluator
valutatori esterni (external examiners),external examiner
valutatori esterni (rapporteurs),reporter
valutatori esterni (referee),external referee
valutatori esterno,contributor
valutatori eterni,contributor
valutatori interni,contributor
valutatoti,valuator
valutatoti esterni,contributor
valutatrice,evaluator
valutatrici,evaluator
valutatrici esterne,external evaluator
valutatriuce,evaluator
valutetori,evaluator
valutetori esterni,external evaluator
vice coordinatore,coordinator
vice direttore della scuola,program director
vice-coordinatore,coordinator
vice-coordinatore del dottorato,coordinator
vice-direttore,program director
vice-direttore della scuola,program director
vice-direttore della scuola stms,program director
vicedirettore,co-director
vicedirettore della scuola,program director
visore,contributor
with the collaboration of,collaborator
zweite gutachter,contributor
zweite(r) referent(in),referent
